scenario_idx,K,theta_1,theta_2,tau2_val,rho_b,rho_w,delta_sim,p1,select_type,delta_est,N_Successful,N_Attempts,Failure_Rate,Avg_Redraws,Bias_Full,MSE_Full,Coverage_Full,CI_Width_Full,Bias_Naive_Biv,MSE_Naive_Biv,Coverage_Naive_Biv,CI_Width_Naive_Biv,Bias_Adj_Uni,MSE_Adj_Uni,Coverage_Adj_Uni,CI_Width_Adj_Uni,Bias_Adj_Biv,MSE_Adj_Biv,Coverage_Adj_Biv,CI_Width_Adj_Biv,Fail_Rate_Biv
18,25,0.4,0.4,0.02,0.4,0.4,0.2,0.2,zscore,0.2,1900,1910,0.005235602094240838,0,-7.6333252262345e-4,0.0024768392314231252,0.9426315789473684,0.19115316296813095,0.011657388642897115,0.003163313344861304,0.94,0.21371355840730064,-0.0018416830492647418,0.003136390896940356,0.9284210526315789,0.2100852242208517,-0.0013203332263330148,0.002986050755841896,0.9442105263157895,0.20784436506922713,0
19,6,0.4,0.4,0.06,0.4,0.4,0.2,0.2,zscore,0.2,1900,2750,0.3090909090909091,0.11894736842105263,-0.007339034458706262,0.017606579332923797,0.9463157894736842,0.5052622765541503,0.015364928297929292,0.022686892796653698,0.9410526315789474,0.5765300403067586,-0.011815134361422841,0.023201096428368224,0.8857894736842106,0.5433996335205448,-0.01003037809236157,0.021664114140602903,0.9473684210526315,0.5579074643868384,0
20,12,0.4,0.4,0.06,0.4,0.4,0.2,0.2,zscore,0.2,1900,2080,0.08653846153846154,0,-5.396370245119297e-4,0.008384769468208614,0.9447368421052632,0.35722890404921703,0.02068724884140888,0.011138192785253315,0.9394736842105263,0.4019644345165107,-0.0025773884912523304,0.011100678791745748,0.9073684210526316,0.38097702295661073,-0.0024014759292111387,0.010378714034905482,0.9447368421052632,0.39030596855994065,0
21,25,0.4,0.4,0.06,0.4,0.4,0.2,0.2,zscore,0.2,1900,1917,0.008868022952529996,0,-9.135121877292263e-4,0.0039962622051780364,0.9510526315789474,0.24750582295028598,0.01791479497640902,0.005106656120655532,0.9478947368421052,0.274650026453137,-0.002385251131015398,0.00497728901166901,0.9321052631578948,0.2654803578726428,-0.0026824119022240134,0.00477671283393075,0.9473684210526315,0.2677859846750817,0
22,6,0.4,0.4,0.36,0.4,0.4,0.2,0.2,zscore,0.2,1900,2850,0.3333333333333333,0.12052631578947369,-0.01173087517697724,0.059844584850166596,0.9642105263157895,1.0120929980316236,0.07646233445640382,0.08347746688879486,0.9557894736842105,1.1538699409581497,-0.02321344854887003,0.08574036483017311,0.8647368421052631,1.0271061323592416,-0.024918905135840275,0.07707439968238149,0.9547368421052631,1.1149768775062259,0
23,12,0.4,0.4,0.36,0.4,0.4,0.2,0.2,zscore,0.2,1900,2097,0.09394372913686218,0,-7.472449095093925e-4,0.03354393914494697,0.9478947368421052,0.7155918853137422,0.07303206470395462,0.04538904929488224,0.9347368421052632,0.8018175883506589,-0.011755096616147709,0.04537620277331875,0.9057894736842105,0.7425777294214756,-0.013899674299092002,0.04148249524017769,0.9436842105263158,0.7764282446086657,0
24,25,0.4,0.4,0.36,0.4,0.4,0.2,0.2,zscore,0.2,1900,1911,0.0057561486132914706,0,-0.003090267444837369,0.015067758234549228,0.9547368421052631,0.4957595562643663,0.0659224203463944,0.02258063786883341,0.9321052631578948,0.5495049109185746,-0.00834836285282703,0.019349733656366632,0.9273684210526316,0.5132628346646743,-0.012307904343146214,0.018555477330488384,0.9505263157894737,0.5308112338614294,0
25,6,0.4,0.4,0,0.4,0.4,0.4,0.2,zscore,0.4,1900,2630,0.27756653992395436,0.16789473684210526,-0.0017004641136471599,0.0063021455991639054,0.9521052631578948,0.31707518447102756,0.0169297950511359,0.008527022689338856,0.9505263157894737,0.36345782484950956,-0.011273015993981839,0.008684870202910778,0.9568421052631579,0.3989773168670532,-0.004228164069557894,0.008027231425496998,0.9473684210526315,0.35101319748344667,0
26,12,0.4,0.4,0,0.4,0.4,0.4,0.2,zscore,0.4,1900,2009,0.05425584868093579,0,7.022032217006147e-4,0.0031725121196590138,0.9568421052631579,0.2239839952080542,0.0172517124894096,0.004416854701106581,0.9526315789473684,0.255527125835666,-0.00715029601733147,0.004631303649695067,0.9563157894736842,0.26894014684334944,-0.002828112207257538,0.004231094545598598,0.9442105263157895,0.24681630012545155,0
27,25,0.4,0.4,0,0.4,0.4,0.4,0.2,zscore,0.4,1900,1906,0.0031479538300104933,0,2.159761319660558e-4,0.0014857694611190078,0.9568421052631579,0.15511190736270758,0.016334698338952458,0.0021293485237139347,0.9389473684210526,0.17468762383916836,-0.004311886436699164,0.0019751877845546758,0.95,0.1806608634434694,-0.0022997979671739444,0.0018750835968595547,0.9473684210526315,0.1692528245521694,0
