Measure,Selection,Z_score,Estimate_adjusted,CI_adjusted_lower,CI_adjusted_upper,Estimate_unadjusted,CI_unadjusted_lower,CI_unadjusted_upper,Effect_estimate
log RR,0.6000000000000001,FALSE,0.4777542679646228,-0.42494072348020834,1.380449259409454,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.6000000000000001,TRUE,0.4651962988281685,-0.47951735890536074,1.4099099565616977,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.7000000000000001,FALSE,0.39747321853453504,-0.5202427914899099,1.31518922855898,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.7000000000000001,TRUE,0.35279281897077436,-0.6113142790440886,1.3168999169856372,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.8,FALSE,0.3251732134869346,-0.6028489933861888,1.2531954203600582,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.8,TRUE,0.2460241614000009,-0.7180637847231731,1.2101121075231749,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.9,FALSE,0.2616938928661084,-0.6711703280765973,1.1945581138088142,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.9,TRUE,0.15388474540517513,-0.7921512416188223,1.0999207324291727,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1,FALSE,0.20709450768486398,-0.7256204088354681,1.1398094242051962,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1,TRUE,0.08132226709387581,-0.8371701637496687,0.9998146979374203,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.1,FALSE,0.16081709134966748,-0.7678620999202438,1.0894962826195789,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.1,TRUE,0.028148689864202714,-0.8622004416939903,0.9184978214223958,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.2000000000000002,FALSE,0.12194685155207717,-0.8000396955927341,1.0439333986968884,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.2000000000000002,TRUE,-0.00898660281466652,-0.8756836683556698,0.8577104627263367,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.3,FALSE,0.0894446088529326,-0.8242676950749537,1.0031569127808189,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,1.3,TRUE,-0.03422981911406559,-0.8831244193707629,0.8146647811426316,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
