scenario_idx,K,theta_1,theta_2,tau2_val,rho_b,rho_w,delta_sim,p1,select_type,delta_est,N_Successful,N_Attempts,Failure_Rate,Avg_Redraws,Bias_Full,MSE_Full,Coverage_Full,CI_Width_Full,Bias_Naive_Biv,MSE_Naive_Biv,Coverage_Naive_Biv,CI_Width_Naive_Biv,Bias_Adj_Uni,MSE_Adj_Uni,Coverage_Adj_Uni,CI_Width_Adj_Uni,Bias_Adj_Biv,MSE_Adj_Biv,Coverage_Adj_Biv,CI_Width_Adj_Biv,Fail_Rate_Biv
67,6,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,1,1900,2846,0.3323963457484188,0.10105263157894737,-0.01683951899408953,0.01456067489330813,0.9610526315789474,0.5055612243117142,0.055920176638808605,0.02171036158786567,0.95,0.5763884401633017,-0.045491074103371776,0.024771344593525518,0.8589473684210527,0.4933393097410776,-0.057332026464747166,0.02305896711075153,0.9263157894736842,0.542064857962813,0
68,12,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,1,1900,2097,0.09394372913686218,0,-0.0041053270286913746,0.008008392620368383,0.9605263157894737,0.3572114434982132,0.06056378665108869,0.013023475320423764,0.9284210526315789,0.4007050901800604,-0.018519435785473715,0.011801727510641612,0.8694736842105263,0.34149771017435093,-0.027342524745451513,0.011771349290819045,0.9126315789473685,0.37150648138791287,0
69,25,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,1,1900,1915,0.007832898172323759,0,-0.0019408400894214695,0.004011478070461099,0.9473684210526315,0.24748298890778236,0.054928181346179494,0.007111632688299148,0.8952631578947369,0.2737132403887907,-0.0034339654487255955,0.004750141426892082,0.901578947368421,0.23159931387741803,-0.012437543464367817,0.004962201080874937,0.9210526315789473,0.2521404969290147,0
70,6,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,1,1900,2602,0.2697924673328209,0.18421052631578946,-0.01730577967187541,0.05197216671566221,0.9731578947368421,1.012077557310455,0.19093392388693609,0.10149945870048271,0.9284210526315789,1.1615045333047282,-0.04875246318638571,0.07829679548087723,0.8231578947368421,0.8246416544097301,-0.14089667596259414,0.0934191386912132,0.9057894736842105,1.0316846954080432,0
71,12,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,1,1900,2011,0.055196419691695676,0,-0.014614151251963359,0.030832734142764683,0.9631578947368421,0.7155812008304732,0.1841127237284229,0.06328412075690316,0.9026315789473685,0.8173478928741366,-0.006426087294159888,0.03480489721660836,0.8763157894736842,0.6003540860565738,-0.06340966941820392,0.04169159470361487,0.9226315789473685,0.7206268553947933,0
72,25,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,1,1900,1906,0.0031479538300104933,0,-0.005176900041443888,0.01598165823215658,0.9447368421052632,0.4957854872940595,0.1859941288107415,0.04914551192919603,0.7773684210526316,0.5605782783867101,0.05032861375598452,0.018362718819280352,0.8631578947368421,0.41600041234603313,0.006583863175294191,0.016808987511622808,0.9505263157894737,0.4968056812317229,0
73,6,0.4,0.4,0,0.4,0.4,0.8,0.2,effect,0,1900,2690,0.2936802973977695,0.14894736842105263,-0.0022671496774857025,0.006465022096971077,0.9531578947368421,0.31695211746511764,0.004832959355268174,0.008459444468514701,0.9536842105263158,0.36316084907729496,0.0049455791968811,0.008513404345343678,0.9636842105263158,0.4004544374333416,0.004120190831004067,0.008124860633670426,0.9457894736842105,0.35120210653301925,0
74,12,0.4,0.4,0,0.4,0.4,0.8,0.2,effect,0,1900,2047,0.0718124084025403,0,-1.9633923908235484e-4,0.003439019612427754,0.9447368421052632,0.22405847827552042,0.005670816741555895,0.004525411160629493,0.9405263157894737,0.2551738629748242,0.005883502795306417,0.004527048300298196,0.9505263157894737,0.2722491517724338,0.005085933401694109,0.004357224710857363,0.9389473684210526,0.24700077137046267,0
75,25,0.4,0.4,0,0.4,0.4,0.8,0.2,effect,0,1900,1909,0.004714510214772132,0,-0.0016730479054540837,0.0016356845608935246,0.9442105263157895,0.15507363097170015,0.0038244993114742165,0.002031168119779133,0.9489473684210527,0.17429698313989744,0.0037877004259580516,0.002040479571812866,0.9573684210526315,0.18239578932662812,0.002930597467040663,0.0019791591004424043,0.9436842105263158,0.1695693554270408,0
76,6,0.4,0.4,0.02,0.4,0.4,0.8,0.2,effect,0,1900,2736,0.3055555555555556,0.15894736842105264,-0.0028619682149810255,0.010043386691856452,0.9552631578947368,0.39022692530984604,0.0094879178823849,0.013360840179172393,0.9436842105263158,0.44748103929336325,0.009468596117703454,0.013386721911124205,0.9278947368421052,0.4520610537429104,0.006605442189781541,0.013002904167311263,0.9389473684210526,0.4325690811384684,0
